@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute V73 numeric
@attribute V74 numeric
@attribute V75 numeric
@attribute V76 numeric
@attribute V77 numeric
@attribute V78 numeric
@attribute V79 numeric
@attribute V80 numeric
@attribute V81 numeric
@attribute V82 numeric
@attribute V83 numeric
@attribute V84 numeric
@attribute V85 numeric
@attribute V86 numeric
@attribute V87 numeric
@attribute V88 numeric
@attribute V89 numeric
@attribute V90 numeric
@attribute Class {1,2,3,4}

@data
-2,-1,81,0,-5,0,-2,-1,79,0,-4,0,-2,-1,79,0,-4,0,-2,-1,80,0,-4,0,-3,-1,79,1,-5,1,-2,-1,81,0,-5,0,-2,-1,80,0,-4,0,-2,-1,79,0,-4,0,-2,-1,79,0,-4,0,-2,-1,79,0,-4,0,-2,-1,80,1,-4,0,-1,-1,80,0,-4,1,-2,-1,78,0,-5,0,-3,-1,80,1,-4,1,-2,-1,79,0,-4,0,3
6,-1,79,-2,4,-3,42,-3,80,5,53,3,-5,4,74,-15,-10,-1,-4,-17,93,26,-6,-3,2,1,74,-6,-3,-4,0,-5,78,3,-6,0,-3,-7,83,8,-5,-3,-6,2,71,-12,-11,1,-3,3,76,-6,-9,-4,-2,-9,86,16,-8,-2,-4,2,77,-5,-7,2,2,-3,81,7,1,9,-1,-5,80,6,-6,0,-4,5,78,-14,-9,-4,-4,1,80,-3,-12,5,3
-2,-6,85,14,-5,2,0,2,74,-7,1,0,-4,-5,76,7,-11,4,-2,-2,78,1,-6,1,-4,4,76,-18,-13,-10,-2,4,74,-10,-9,-4,1,-9,87,13,-2,-10,-8,3,69,-13,-20,-5,-1,0,83,-2,-6,-8,-3,-6,83,6,-14,-5,-3,8,73,-19,-11,-3,-6,-1,80,-1,-20,6,0,-9,87,13,-5,2,-5,5,67,-17,-16,7,-6,-10,86,16,-14,-1,3
-2,-10,86,13,-7,-5,-5,4,73,-16,-18,-2,0,1,79,-5,-10,-4,-2,-6,87,5,-12,-1,-6,3,73,-16,-21,-5,2,-9,84,7,-6,-9,-1,-8,82,6,-8,0,1,3,78,-11,-2,-5,-3,-8,88,5,-13,-3,-1,-1,81,-4,-10,-13,-5,4,74,-17,-21,-15,-4,-14,84,17,-17,-4,1,-7,78,3,-7,-2,-9,6,75,-18,-28,-9,-1,-9,92,11,-15,-11,3
0,2,74,-12,-9,-5,-2,4,74,-16,-15,-3,2,-9,85,11,-4,-6,1,-3,77,-5,-11,-10,1,-1,71,-7,-2,-3,-5,-6,83,2,-21,-5,-1,-6,77,-2,-17,-11,-6,-2,77,-10,-25,-10,-5,-10,90,7,-21,-9,-1,5,75,-23,-16,-6,-3,5,73,-19,-19,-6,-4,-11,89,11,-14,-4,-2,5,72,-18,-11,-9,3,-3,74,-1,-7,-1,-7,-13,88,12,-30,-3,3
-2,3,70,-15,-18,-5,-1,3,78,-16,-17,-4,-1,-7,83,4,-14,-10,0,-2,70,-12,-12,-7,-4,-2,75,-6,-15,-5,-7,-13,85,9,-26,-4,0,1,75,-14,-9,-5,3,-4,80,-2,-10,-10,-3,-2,83,-10,-25,-5,1,-5,81,0,-12,-8,-6,0,77,-13,-31,-7,-6,-9,83,3,-26,-5,-6,0,77,-21,-27,-10,-5,-9,84,5,-22,-10,1,-3,79,-5,-16,-6,3
-5,4,77,-20,-22,-6,-4,-2,80,-8,-20,-3,-4,-7,82,-1,-22,-9,-1,-2,74,-7,-15,-7,-4,-8,84,0,-24,-4,-3,3,81,-24,-26,-13,-2,2,80,-20,-22,-9,-1,-7,82,-1,-18,-3,-1,-2,78,-16,-21,-9,1,-5,76,0,-10,-8,-6,-3,82,-13,-28,-9,-3,-5,77,-5,-20,-9,-2,0,76,-19,-20,-14,-3,-8,79,-4,-23,-11,-5,0,78,-18,-25,-9,3
-5,4,78,-28,-28,-9,-4,-8,79,-5,-24,-14,-1,-9,78,0,-17,-14,-1,-1,78,-17,-21,-9,1,-5,80,-12,-18,-7,-3,3,78,-31,-23,-13,0,-8,78,0,-16,-16,-7,3,81,-29,-32,-12,-7,1,79,-21,-29,-11,-6,-1,79,-21,-29,-16,-3,-11,77,0,-21,-1,-1,-1,77,-19,-20,-8,-1,4,77,-24,-20,-7,0,-5,77,-6,-20,-10,-2,-8,79,4,-21,-10,3
-4,-2,81,-11,-24,-10,-5,3,77,-29,-26,-6,-5,2,81,-27,-25,-13,-3,0,81,-28,-25,-12,-1,-11,76,-2,-20,-2,-2,-3,76,-20,-20,-7,-2,-2,82,-20,-22,-14,-4,3,76,-26,-23,-9,-6,-7,83,-4,-29,-20,-6,-2,79,-24,-29,-17,-2,-9,79,-8,-24,-13,-4,-5,78,-17,-23,-9,-2,-4,81,-16,-22,2,1,-9,74,-1,-19,-4,-3,1,84,-17,-24,-11,3
-3,1,84,-26,-22,-11,-1,-2,76,-21,-20,-17,-4,-2,78,-20,-27,-12,-5,-5,83,-11,-28,-11,0,-1,77,-22,-21,-18,-1,2,82,-31,-18,-11,-5,-6,80,-9,-29,-14,-4,-13,76,6,-26,-11,-9,-2,85,-17,-33,-13,-5,2,83,-27,-25,-10,-6,-5,78,-15,-27,-11,-8,-2,81,-20,-33,-10,-1,-1,84,-20,-18,-5,-3,-10,73,-7,-19,-8,-3,1,82,-24,-24,-1,3
