@relation R_data_frame

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute Class {1,2,3,4,5}

@data
362,197,0.634607,4
493,63,0.670875,5
481,37,0.628967,5
582,201,0.546201,4
386,397,0.692178,4
439,22,0.683533,5
558,147,0.525234,4
169,610,0.466612,4
95,285,0.570086,4
134,275,0.557383,4
710,36,0.64987,4
334,38,0.621136,1
529,16,0.47714,1
770,18,0.420755,1
977,19,0.394592,1
1003,23,0.397785,1
92,21,0.403929,1
251,27,0.537153,1
896,24,0.363614,1
567,33,0.507824,1
515,34,0.593925,1
921,31,0.372729,1
772,57,0.612473,1
825,43,0.454634,1
292,46,0.408342,1
947,52,0.447089,1
382,58,0.629387,1
548,52,0.356774,1
882,94,0.56632,1
619,61,0.389346,1
817,66,0.565608,1
990,101,0.549506,1
212,62,0.363574,1
292,63,0.362078,1
312,76,0.452531,1
204,93,0.551553,1
143,86,0.605397,1
928,92,0.458333,1
416,83,0.362647,1
834,87,0.518223,1
815,86,0.410834,1
352,95,0.452427,1
32,92,0.350227,1
26,94,0.355187,1
427,107,0.419714,1
674,102,0.35246,1
70,108,0.411656,1
346,123,0.460264,1
18,132,0.511996,1
409,135,0.509773,1
452,130,0.437192,1
640,131,0.427354,1
908,142,0.418308,1
236,142,0.371422,1
772,145,0.400915,1
850,155,0.450323,1
444,155,0.380915,1
998,152,0.355684,1
413,159,0.441707,1
326,168,0.473691,1
477,165,0.365901,1
874,169,0.563679,1
1004,169,0.415819,1
740,176,0.354336,1
778,177,0.417658,1
924,188,0.511404,1
823,178,0.351604,1
632,196,0.3939,1
836,199,0.55384,1
813,222,0.423155,1
283,202,0.380184,1
960,210,0.447867,1
191,224,0.425184,1
437,249,0.780498,1
633,217,0.408599,1
27,231,0.447989,1
396,224,0.413584,1
922,222,0.37391,1
944,233,0.540452,1
256,228,0.39433,1
493,228,0.406877,1
516,236,0.354824,1
964,239,0.376255,1
761,251,0.568206,1
382,247,0.408138,1
851,252,0.549546,1
491,247,0.391108,1
159,262,0.463199,1
510,275,0.467276,1
21,284,0.548715,1
904,268,0.351991,1
917,270,0.408844,1
222,280,0.530071,1
313,277,0.417054,1
902,308,0.699617,1
392,278,0.364887,1
172,285,0.449845,1
770,285,0.509237,1
124,300,0.499682,1
804,297,0.377898,1
578,323,0.547018,1
158,323,0.669939,1
512,317,0.433284,1
766,308,0.380585,1
414,309,0.385482,1
805,313,0.417378,1
